FullName,NOM,PRENOM,ADRESSE,CODE_POSTAL,LOCALITE,GOUVERNORAT,SPECIALITE,CATEGORIE_PRESTATAIRE,APC,NameAr,Delegations_Name,Delegations_NameAr,Delegations_Value,Delegations_Latitude,Delegations_Longitude
AZMI L'TAIEF,L'TAIEF,AZMI,CLINIQUE BEAU SEJOUR,2033,MEGRINE,BEN AROUS,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,توزر,MEGRINE (Megrine),مقرين (مقرين),MEGRINE,36.7836,10.232
YAHIA SAMET,SAMET,YAHIA,11 AV ALI BELHOUANE 1er ETAGE,8000,NABEUL,NABEUL,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,نابل,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
RAHMA DHERIFI,DHERIFI,RAHMA,CHU FARHAT HACHED SCE CARDIOLOGIE,4000,SOUSSE MEDINA,SOUSSE,MEDECIN DENTISTE,CABINET DE KINESITHERAPIE,NON,أريانة,SOUSSE VILLE (Cite Boukhzar),سوسة المدينة (حي بوخزر),SOUSSE VILLE,35.8269,10.63
MYRIAM DORRA MESFAR,MESFAR,MYRIAM DORRA,7 RUE AHMED CHAWKI 2 EME ETAGE APPT N 1,1124,JEDAIDA,MANOUBA,RADIOLOGIE (DIAGNOSTIC),CABINET MEDICAL INDIVIDUEL,NON,القيروان,JEDAIDA (Cite El Hidaya),الجديدة (حي الهداية),JEDAIDA,36.85,9.9167
JAN YOUSSEF,YOUSSEF,JAN,172 BOULEVARD 07 NOVEMBRE,7000,BIZERTE,BIZERTE,MEDECIN DENTISTE,CABINET DE KINESITHERAPIE,NON,تطاوين,BIZERTE NORD (Bizerte),بنزرت الشمالية (بنزرت),BIZERTE NORD,37.2744,9.8739
RADHIA BESSGHAIER HENCHIRI,BESSGHAIER HENCHIRI,RADHIA,RUE IBN KHALDOUN EL JORF,4060,KALAA EL KEBIRA,SOUSSE,RADIOTHERAPIE,APC,APC,قابس,KALAA EL KEBIRA (Ahel  Jemiaa),القلعة الكبرى (أهل جميعة),KALAA EL KEBIRA,35.8697,10.5544
LARABI HENDAOUI,HENDAOUI,LARABI,30 RUE EL ISFAHANI CITE ENNOIR GAFSA,2123,GAFSA CITE ENNOUR,GAFSA,PEDIATRIE,CABINET MEDICAL INDIVIDUEL,NON,قفصة,GAFSA SUD (Gafsa Cite Ennour),قفصة الجنوبية (قفصة حي النور),GAFSA SUD,34.422,8.793
ZINA BEN AOUN ALLAH,BEN AOUN ALLAH,ZINA,AVENUE 20 MARS ANGLE RUE KORBA APP 1-2 MOUROUJ 5,2074,EL MOUROUJ I,BEN AROUS,GYNECOLOGIE-OBSTETRIQUE,APC,APC,سليانة,EL MOUROUJ (Cite El Bochra),المروج (حي البشرى),EL MOUROUJ,36.7405,10.2042
ZOUHAIRA GLAII,GLAII,ZOUHAIRA,36  RUE  FARHAT HACHED,8110,TABARKA,JENDOUBA,PHYSIOTHERAPIE,CABINET DE CHIRURGIE DENTAIRE,NON,الكاف,TABARKA (Ain Essnoussi),طبرقة (عين السنوسي),TABARKA,36.9,8.8
MOSSAAB SEMAH,SEMAH,MOSSAAB,4 AVENUE DE L'INDEPENDANCE,2011,DEN DEN,MANOUBA,BIOLOGIE CLINIQUE,CENTRE D'HEMODIALYSE,NON,المنستير,MANNOUBA (Denden),منوبة (الدندان),MANNOUBA,36.8097,10.0928
AMEUR GARA ALI,GARA ALI,AMEUR,RUE F.HACHED. IMM. COMPTOIRS SFAXIENS. 1er ETAGE,2200,TOZEUR,TOZEUR,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,الكاف,TOZEUR (Cite Commerciale),توزر (الحي التجاري),TOZEUR,33.9197,8.1336
DALENDA REMEKI AMARA,AMARA,DALENDA REMEKI,ESPACE  -EL JAZIRA- AVE MOHD BADRA  RTE AJIM,4180,DJERBA HOUMET SOUK,MEDENINE,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,سليانة,HOUMET ESSOUK (Bazim),حومة السوق (بازيم),HOUMET ESSOUK,33.8814,10.85
MED KAMEL KLICH,KLICH,MED KAMEL,rue bahi ladghem  menzel ennour,5022,MENZEL ENNOUR,MONASTIR,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,منوبة,BEMBLA (Cite 2 Mars),بمبلة (حي 2 مارس),BEMBLA,35.7,10.8
NAHED BAOUAB,BAOUAB,NAHED,152AVENUE DES MARTYRES FACE HOPITAL ETTADHAMEN,2086,DOUAR HICHER,MANOUBA,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,قبلي,DOUAR HICHER (Cite Khaled Ibn El Walid),دوار هيشر (حي خالد بن الوليد),DOUAR HICHER,36.8333,10.0667
AHMED MOUNIR KHARBECH,KHARBECH,AHMED MOUNIR,Rue de la Mosquée N° 8,1140,EL FAHS,ZAGHOUAN,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,سيدي بوزيد,EL FAHS (Bir Moukra),الفحص (بئر مقرة),EL FAHS,36.3747,9.9017
SAMIHA DRAOUIL,DRAOUIL,SAMIHA,11 RUE EL JAZIRA,1000,TUNIS RP (VILLE),TUNIS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,صفاقس,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
MERIEM EL ONS KSOUDA,KSOUDA,MERIEM EL ONS,AV HEDI NOUIRA ROUTE MORNAG NOUVELLE MEDINA3,2063,MEDINA JEDIDA,BEN AROUS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,تونس,NOUVELLE MEDINA (Nouvelle Medina),المدينة الجديدة (المدينة الجديدة),NOUVELLE MEDINA,36.75,10.23
MOHAMED EL IDI maned,maned,MOHAMED EL IDI,1 RUE GHANA,2011,DEN DEN,MANOUBA,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,منوبة,MANNOUBA (Denden),منوبة (الدندان),MANNOUBA,36.8097,10.0928
SABRINE AYACHI EP TLILI,AYACHI EP TLILI,SABRINE,33 RUE DE GAFSA,8000,NABEUL,NABEUL,O.R.L.,CABINET MEDICAL INDIVIDUEL,NON,المهدية,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
MEYSSOUN REJAIBI,REJAIBI,MEYSSOUN,rue AIi Belhouane Imm M' sallem,8030,GROMBALIA,NABEUL,PHYSIOTHERAPIE,OFFICINE DE JOUR,NON,بنزرت,GROMBALIA (Batrou),قرمبالية (بطرو),GROMBALIA,36.6,10.5
FAOUZI RIDHA AZZOUZ EP BEDOUI,AZZOUZ EP BEDOUI,FAOUZI RIDHA,COMPLEXE MEDICALE L ELYSEE APP N 4  AV IBN KHALDOUN,4180,DJERBA HOUMET SOUK,MEDENINE,GASTRO-ENTEROLOGIE,CABINET MEDICAL INDIVIDUEL,NON,قابس,HOUMET ESSOUK (Bazim),حومة السوق (بازيم),HOUMET ESSOUK,33.8814,10.85
SAFIA JELLITI,JELLITI,SAFIA,AV FARHAT HACHED IMM GARAA 2° ETAGE APPAT N°2,8030,GROMBALIA,NABEUL,PEDIATRIE,CABINET MEDICAL INDIVIDUEL,NON,أريانة,GROMBALIA (Batrou),قرمبالية (بطرو),GROMBALIA,36.6,10.5
NIDHAL EL BEKRI,EL BEKRI,NIDHAL,"2, RUE DE MARSEILLE",1001,TUNIS REPUBLIQUE,TUNIS,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,القيروان,BAB BHAR (Republique),باب بحر (الجمهورية),BAB BHAR,36.7981,10.1803
BEN SAID ESSBOUI,ESSBOUI,BEN SAID,RESIDENCE CHERIFA CABINET  B4  CITE ETTAHRIR,2042,CITE ETTAHRIR,TUNIS,MEDECINE GENERALE,CABINET DE KINESITHERAPIE,NON,قبلي,ETTAHRIR (Cite Du Jardin),التحرير (حي الحديقة),ETTAHRIR,36.8344,10.1431
MOHAMED MOURAD BEN KHALAF,BEN KHALAF,MOHAMED MOURAD,"18, AVENUE FARHAT HACHED",2090,MORNAG,BEN AROUS,GYNECOLOGIE-OBSTETRIQUE,CABINET MEDICAL INDIVIDUEL,NON,باجة,MORNAG (Ahmed Zaied),مرناق (أحمد زايد),MORNAG,36.6783,10.275
NAZIH ERRIBA,ERRIBA,NAZIH,10 PIERRE DE COUBERTIN,1001,TUNIS REPUBLIQUE,TUNIS,CHIRURGIE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,القيروان,BAB BHAR (Republique),باب بحر (الجمهورية),BAB BHAR,36.7981,10.1803
AMIN SWANIYA,SWANIYA,AMIN,AV CHEDLY KALLALA,5000,MONASTIR,MONASTIR,PHARMACIEN D'OFFICINE DE JOUR,CABINET DE KINESITHERAPIE,NON,القصرين,MONASTIR (Monastir),المنستير (المنستير),MONASTIR,35.7644,10.8
SAIED KLAI,KLAI,SAIED,Hela Center. Place 9 Avril,2050,HAMMAM-LIF,BEN AROUS,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,صفاقس,HAMMAM LIF (Cite Des Ouvriers),حمام الأنف (حي العمال),HAMMAM LIF,36.728,10.336
AMMAR NACEF,NACEF,AMMAR,AV  HABIB  BOURGUIBA  IMM  EL  OUSTANI,5070,KSAR HELLAL,MONASTIR,CHIRURGIE ORTHOPEDIQUE,OFFICINE DE NUIT,NON,المهدية,KSAR HELAL (Cite Bir Ali Hellal),قصر هلال (حي بئر علي هلال),KSAR HELAL,35.6439,10.8906
HADIR NOUREDDINE AKRIMI,NOUREDDINE AKRIMI,HADIR,57 AV TAIEB MHIRI CITE ETTADHAMEN,2041,CITE ETTADHAMEN,ARIANA,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,بنزرت,ETTADHAMEN (Cite 18 Janvier),التضامن (حي 18 جانفي),ETTADHAMEN,36.8387,10.102
MOHAMED SKANDER KHELIF,KHELIF,MOHAMED SKANDER,81 AV  HABIB BOURGUIBA,4021,KALAA ESSEGHIRA,SOUSSE,MEDECINE GENERALE,LABORATOIRE D'ANALYSES,NON,المنستير,KALAA ESSGHIRA (Cite Chabbett Ezzaouia),القلعة الصغرى (حي شابة الزاوية),KALAA ESSGHIRA,35.8381,10.5736
AFFEF GUEDDICHE,GUEDDICHE,AFFEF,"14, RUE D'ATHENE",1000,TUNIS RP (VILLE),TUNIS,MEDECINE GENERALE,MINISTERE DE L'INTERIEUR,NON,قبلي,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
CAROLE ARBI,ARBI,CAROLE,37 rue 4001 1er etage appt n 102 cité ezzouhor 3,2052,CITE EZZOUHOUR,TUNIS,PEDIATRIE,CABINET MEDICAL INDIVIDUEL,NON,القيروان,EL HRAIRIA (Cite Bouzaiene),الحرايرية (حي بوزيان),EL HRAIRIA,36.7833,10.1
